protein	id	evalue	score
NZ_KB908454.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00001.1,$~&whole$~&genome$~&shotgun$~&sequence_460	K01972	0.0	1040.5
NZ_KB908458.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00005.5,$~&whole$~&genome$~&shotgun$~&sequence_213	K09181	0.0	1231.8
NZ_KB908454.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00001.1,$~&whole$~&genome$~&shotgun$~&sequence_324	K17686	0.0	1075.6
NZ_KB908458.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00005.5,$~&whole$~&genome$~&shotgun$~&sequence_127	K01414	0.0	1017.8
NZ_KB908458.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00005.5,$~&whole$~&genome$~&shotgun$~&sequence_14	K00284	0.0	1874.2
NZ_KB908454.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00001.1,$~&whole$~&genome$~&shotgun$~&sequence_103	K03555	0.0	1234.7
NZ_KB908467.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00014.14,$~&whole$~&genome$~&shotgun$~&sequence_15	K02470	0.0	1118.1
NZ_KB908454.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00001.1,$~&whole$~&genome$~&shotgun$~&sequence_54	K00163	0.0	1462.3
NZ_KB908458.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00005.5,$~&whole$~&genome$~&shotgun$~&sequence_64	K12525	0.0	1041.9
NZ_KB908465.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00012.12,$~&whole$~&genome$~&shotgun$~&sequence_90	K00164	0.0	1294.7
NZ_KB908460.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00007.7,$~&whole$~&genome$~&shotgun$~&sequence_21	K11183	0.0	1132.1
NZ_KB908464.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00011.11,$~&whole$~&genome$~&shotgun$~&sequence_12	K15371	0.0	1934.5
NZ_KB908460.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00007.7,$~&whole$~&genome$~&shotgun$~&sequence_68	K01007	0.0	1149.1
NZ_KB908454.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00001.1,$~&whole$~&genome$~&shotgun$~&sequence_80	K01969	0.0	1013.5
NZ_KB908454.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00001.1,$~&whole$~&genome$~&shotgun$~&sequence_167	K00955	0.0	1061.1
NZ_KB908454.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00001.1,$~&whole$~&genome$~&shotgun$~&sequence_420	K03296	0.0	1135.1
NZ_KB908460.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00007.7,$~&whole$~&genome$~&shotgun$~&sequence_100	K00219	0.0	1083.2
NZ_KB908458.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00005.5,$~&whole$~&genome$~&shotgun$~&sequence_202	K03147	0.0	1116.6
NZ_KB908458.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00005.5,$~&whole$~&genome$~&shotgun$~&sequence_13	K07648	0.0	1128.0
NZ_KB908458.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00005.5,$~&whole$~&genome$~&shotgun$~&sequence_50	K03046	0.0	1973.6
NZ_KB908458.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00005.5,$~&whole$~&genome$~&shotgun$~&sequence_51	K03043	0.0	1755.6
NZ_KB908460.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00007.7,$~&whole$~&genome$~&shotgun$~&sequence_104	K01955	0.0	1803.0
NZ_KB908463.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00010.10,$~&whole$~&genome$~&shotgun$~&sequence_86	K22051	0.0	1224.2
NZ_KB908463.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00010.10,$~&whole$~&genome$~&shotgun$~&sequence_115	K03580	0.0	1263.1
NZ_KB908462.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00009.9,$~&whole$~&genome$~&shotgun$~&sequence_77	K04561	0.0	1029.1
NZ_KB908464.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00011.11,$~&whole$~&genome$~&shotgun$~&sequence_92	K03782	0.0	1238.9
NZ_KB908464.1$~&Oceanimonas$~&smirnovii$~&ATCC$~&BAA-899$~&G364DRAFT_scaffold00011.11,$~&whole$~&genome$~&shotgun$~&sequence_84	K04780	0.0	1138.3
