protein	id	evalue	score
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_31	PF06074.12	2e-188	619.1
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_37	PF10124.9	3.5e-127	415.4
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_36	PF10123.9	1.1e-103	338.9
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_28	PF08822.11	1.0000000000000001e-66	215.8
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_13	PF07352.12	1.8e-43	140.0
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_32	PF04233.14	5.5e-35	112.4
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_6	PF02316.16	1.1e-34	111.5
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_40	PF07030.12	1.1e-31	101.4
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_20	PF06252.12	3.3e-30	97.4
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_33	PF05069.13	1.4000000000000001e-28	91.4
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_2	PF13693.6	3.8e-19	60.5
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_49	PF09356.10	1e-18	59.3
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_21	PF08765.11	2.2e-17	54.9
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_7	PF13401.6	3.7e-16	51.5
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_1	PF00717.23	1.2e-13	42.8
