Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
2OG_0_CAS-I-II-III-IV-V-VI	NZ_KB908454.1_60	227	205	0.00034	17.2	68853	69533	NZ_KB908454.1	60	0.3656387665198238	0.4146341463414634	1
2OG_1_CAS-I-II-III-IV-V-VI	NZ_KB908454.1_60	227	94	6.8e-16	56.3	68853	69533	NZ_KB908454.1	60	0.40969162995594716	0.9680851063829787	1
2OG_1_CAS-I-II-III-IV-V-VI	NZ_KB908455.1_202	213	94	2.1e-22	77.1	215406	216044	NZ_KB908455.1	202	0.431924882629108	0.9893617021276596	1
AbiEii_0_CAS-III	NZ_KB908454.1_131	445	284	0.014	12.4	142423	143757	NZ_KB908454.1	131	0.14157303370786517	0.22535211267605634	1
AbiEii_0_CAS-III	NZ_KB908454.1_243	339	284	0.0018	15.3	269394	270410	NZ_KB908454.1	243	0.17404129793510326	0.20422535211267606	-1
AbiEii_0_CAS-III	NZ_KB908454.1_267	258	284	8.4e-06	23.0	305089	305862	NZ_KB908454.1	267	0.2751937984496124	0.24647887323943662	1
AbiEii_0_CAS-III	NZ_KB908454.1_287	373	284	7.6e-07	26.4	324117	325235	NZ_KB908454.1	287	0.3163538873994638	0.39436619718309857	-1
AbiEii_0_CAS-III	NZ_KB908454.1_32	251	284	5.7e-07	26.8	30245	30997	NZ_KB908454.1	32	0.3426294820717131	0.3028169014084507	-1
AbiEii_0_CAS-III	NZ_KB908454.1_379	556	284	9.4e-08	29.4	413008	414675	NZ_KB908454.1	379	0.20323741007194246	0.33098591549295775	-1
AbiEii_0_CAS-III	NZ_KB908454.1_382	256	284	3e-06	24.5	417027	417794	NZ_KB908454.1	382	0.15625	0.13028169014084506	-1
AbiEii_0_CAS-III	NZ_KB908454.1_414	256	284	0.00012	19.3	452535	453302	NZ_KB908454.1	414	0.50390625	0.46830985915492956	1
AbiEii_0_CAS-III	NZ_KB908454.1_500	211	284	0.00071	16.7	541939	542571	NZ_KB908454.1	500	0.17061611374407584	0.13028169014084506	1
AbiEii_0_CAS-III	NZ_KB908454.1_68	355	284	0.0064	13.5	76845	77909	NZ_KB908454.1	68	0.29859154929577464	0.35563380281690143	1
AbiEii_0_CAS-III	NZ_KB908455.1_16	370	284	0.00078	16.5	13884	14993	NZ_KB908455.1	16	0.23513513513513515	0.323943661971831	1
AbiEii_0_CAS-III	NZ_KB908455.1_199	531	284	1e-06	26.0	211873	213465	NZ_KB908455.1	199	0.2749529190207156	0.397887323943662	-1
AbiEii_0_CAS-III	NZ_KB908455.1_38	641	284	0.009	13.1	35624	37546	NZ_KB908455.1	38	0.0499219968798752	0.1056338028169014	1
AbiEii_0_CAS-III	NZ_KB908456.1_136	427	284	0.00093	16.3	148417	149697	NZ_KB908456.1	136	0.08899297423887588	0.12323943661971831	-1
AbiEii_0_CAS-III	NZ_KB908456.1_139	327	284	0.018	12.1	152026	153006	NZ_KB908456.1	139	0.39143730886850153	0.4225352112676056	-1
AbiEii_0_CAS-III	NZ_KB908456.1_174	248	284	8.1e-05	19.8	189919	190662	NZ_KB908456.1	174	0.16129032258064516	0.14084507042253522	-1
AbiEii_0_CAS-III	NZ_KB908456.1_201	215	284	0.00065	16.8	225151	225795	NZ_KB908456.1	201	0.5488372093023256	0.3873239436619718	1
