protein	scaffold	accession	name
NC_020198.1 Pseudomonas phage JBD30, complete genome_1	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG02771	sp|P03034|RPC1_LAMBD Repressor protein cI
NC_020198.1 Pseudomonas phage JBD30, complete genome_2	NC_020198.1 Pseudomonas phage JBD30, complete genome	K07724	"ner, nlp, sfsB; Ner family transcriptional regulator"
NC_020198.1 Pseudomonas phage JBD30, complete genome_3	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG03327	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_4	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG11432	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_5	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG11433	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_6	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG00758	sp|P16942|T629_SHISO Transposase for insertion sequence element IS629
NC_020198.1 Pseudomonas phage JBD30, complete genome_7	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG01384	sp|P03763|TARGB_BPMU ATP-dependent target DNA activator B
NC_020198.1 Pseudomonas phage JBD30, complete genome_8	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG02078	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_9	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG11434	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_10	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG13918	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_11	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG02635	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_12	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG11435	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_13	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG02851	sp|P06023|GAM_BPMU Putative DNA ends protecting protein gam
NC_020198.1 Pseudomonas phage JBD30, complete genome_14	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG20057	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_15	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG11436	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_16	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG01533	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_17	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG01533	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_18	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG11437	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_19	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG11438	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_20	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG03188	sp|P24796|GEMA_BPD10 GemA protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_21	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG00774	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_22	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG13919	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_23	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG01722	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_24	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG00741	sp|Q9XJR2|P5_BPPM2 Protein P5
NC_020198.1 Pseudomonas phage JBD30, complete genome_25	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG20560	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_26	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG11439	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_27	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG11440	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_28	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG11441	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_29	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG04918	REFSEQ hypothetical protein
NC_020198.1 Pseudomonas phage JBD30, complete genome_30	NC_020198.1 Pseudomonas phage JBD30, complete genome	VOG00677	"sp|P10310|TERL_BPT3 Terminase, large subunit gp19"
