protein	scaffold	accession	name
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_208	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	K21498	higA-1; antitoxin HigA-1
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_209	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	K01649	"leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]"
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_210	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	K02855	"rhaS; AraC family transcriptional regulator, L-rhamnose operon regulatory protein RhaS"
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_211	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_212	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_213	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_214	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	None	hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_215	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	VOG01165	REFSEQ hypothetical protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_216	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	VOG00125	sp|Q6QGE9|BPPB3_BPT5 Probable baseplate hub protein
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_217	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	VOG02435	sp|O64334|TIPI_BPN15 Tail tip assembly protein I
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3_218	NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	VOG01039	sp|O64333|TIPK_BPN15 Tail tip assembly protein K
