protein	scaffold	KO	AMG	KO name	KO evalue	KO score	KO v-score	Pfam	Pfam name	Pfam evalue	Pfam score	Pfam v-score	VOG	VOG name	VOG evalue	VOG score	VOG v-score
NC_020198.1 Pseudomonas phage JBD30, complete genome_1	NC_020198.1 Pseudomonas phage JBD30, complete genome	K01356		lexA; repressor LexA [EC:3.4.21.88]	4.8e-17	54.0	2.88	PF00717.23	Peptidase S24-like	1.2e-13	42.8	1.35	VOG02771	sp|P03034|RPC1_LAMBD Repressor protein cI	7.500000000000001e-22	70.3	10.0
NC_020198.1 Pseudomonas phage JBD30, complete genome_2	NC_020198.1 Pseudomonas phage JBD30, complete genome	K07724		"ner, nlp, sfsB; Ner family transcriptional regulator"	6.3e-24	76.3	0.2	PF13693.6	Winged helix-turn-helix DNA-binding	3.8e-19	60.5	0.2					
NC_020198.1 Pseudomonas phage JBD30, complete genome_3	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG03327	REFSEQ hypothetical protein	5e-63	203.5	0.76
NC_020198.1 Pseudomonas phage JBD30, complete genome_4	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG11432	REFSEQ hypothetical protein	5.4000000000000005e-73	234.3	0.13
NC_020198.1 Pseudomonas phage JBD30, complete genome_5	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG11433	REFSEQ hypothetical protein	6.6e-86	277.1	0.64
NC_020198.1 Pseudomonas phage JBD30, complete genome_6	NC_020198.1 Pseudomonas phage JBD30, complete genome	K07497		K07497; putative transposase	3.7e-19	61.2	0.39	PF02316.16	Mu DNA-binding domain	1.1e-34	111.5	0.07	VOG00758	sp|P16942|T629_SHISO Transposase for insertion sequence element IS629	2.6e-181	596.6	2.68
NC_020198.1 Pseudomonas phage JBD30, complete genome_7	NC_020198.1 Pseudomonas phage JBD30, complete genome	K07132		MuB; ATP-dependent target DNA activator [EC:3.6.1.3]	1.4e-35	115.0	0.26	PF13401.6	AAA domain	3.7e-16	51.5	0.23	VOG01384	sp|P03763|TARGB_BPMU ATP-dependent target DNA activator B	2.1000000000000002e-73	239.2	1.54
NC_020198.1 Pseudomonas phage JBD30, complete genome_8	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG02078	REFSEQ hypothetical protein	6.6e-94	304.9	0.94
NC_020198.1 Pseudomonas phage JBD30, complete genome_9	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG11434	REFSEQ hypothetical protein	1e-99	323.9	0.63
NC_020198.1 Pseudomonas phage JBD30, complete genome_10	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG13918	REFSEQ hypothetical protein	2.0000000000000002e-29	93.4	0.89
NC_020198.1 Pseudomonas phage JBD30, complete genome_11	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG02635	REFSEQ hypothetical protein	9.8e-46	146.7	0.98
NC_020198.1 Pseudomonas phage JBD30, complete genome_12	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG11435	REFSEQ hypothetical protein	2.9999999999999997e-47	151.2	0.9
NC_020198.1 Pseudomonas phage JBD30, complete genome_13	NC_020198.1 Pseudomonas phage JBD30, complete genome							PF07352.12	Bacteriophage Mu Gam like protein	1.8e-43	140.0	1.0	VOG02851	sp|P06023|GAM_BPMU Putative DNA ends protecting protein gam	2.3e-89	289.2	1.53
NC_020198.1 Pseudomonas phage JBD30, complete genome_14	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG20057	REFSEQ hypothetical protein	5.8e-52	165.3	0.06
NC_020198.1 Pseudomonas phage JBD30, complete genome_15	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG11436	REFSEQ hypothetical protein	4.1e-70	224.3	0.59
NC_020198.1 Pseudomonas phage JBD30, complete genome_16	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG01533	REFSEQ hypothetical protein	4.9e-61	197.4	1.31
NC_020198.1 Pseudomonas phage JBD30, complete genome_17	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG01533	REFSEQ hypothetical protein	9.5e-45	144.4	1.31
NC_020198.1 Pseudomonas phage JBD30, complete genome_18	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG11437	REFSEQ hypothetical protein	1.1e-58	187.3	0.68
NC_020198.1 Pseudomonas phage JBD30, complete genome_19	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG11438	REFSEQ hypothetical protein	6e-61	194.9	0.65
NC_020198.1 Pseudomonas phage JBD30, complete genome_20	NC_020198.1 Pseudomonas phage JBD30, complete genome							PF06252.12	Protein of unknown function (DUF1018)	3.3e-30	97.4	0.29	VOG03188	sp|P24796|GEMA_BPD10 GemA protein	1.1999999999999999e-46	150.3	1.53
NC_020198.1 Pseudomonas phage JBD30, complete genome_21	NC_020198.1 Pseudomonas phage JBD30, complete genome							PF08765.11	Mor transcription activator family	2.2e-17	54.9	0.17	VOG00774	REFSEQ hypothetical protein	3.9e-45	144.8	1.12
NC_020198.1 Pseudomonas phage JBD30, complete genome_22	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG13919	REFSEQ hypothetical protein	2.2e-80	258.2	0.7
NC_020198.1 Pseudomonas phage JBD30, complete genome_23	NC_020198.1 Pseudomonas phage JBD30, complete genome												VOG01722	REFSEQ hypothetical protein	2.2000000000000003e-59	191.1	0.84
