Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	NZ_CP026538.1_1200	639	284	3e-05	21.6	1378337	1380253	NZ_CP026538.1	1200	0.21752738654147105	0.39436619718309857	1
AbiEii_0_CAS-III	NZ_CP026538.1_1325	263	284	7.7e-05	20.3	1519364	1520152	NZ_CP026538.1	1325	0.34600760456273766	0.30633802816901406	-1
AbiEii_0_CAS-III	NZ_CP026538.1_1335	247	284	1.3e-08	32.7	1529371	1530111	NZ_CP026538.1	1335	0.5344129554655871	0.4471830985915493	-1
AbiEii_0_CAS-III	NZ_CP026538.1_1349	336	284	0.0079	13.7	1540983	1541990	NZ_CP026538.1	1349	0.06845238095238096	0.08098591549295775	1
AbiEii_0_CAS-III	NZ_CP026538.1_1480	221	284	0.05	11.0	1689770	1690432	NZ_CP026538.1	1480	0.3167420814479638	0.24295774647887325	1
AbiEii_0_CAS-III	NZ_CP026538.1_1519	919	284	0.015	12.7	1740332	1743088	NZ_CP026538.1	1519	0.12295973884657237	0.29225352112676056	-1
AbiEii_0_CAS-III	NZ_CP026538.1_1582	236	284	0.0046	14.4	1806164	1806871	NZ_CP026538.1	1582	0.3898305084745763	0.30633802816901406	-1
AbiEii_0_CAS-III	NZ_CP026538.1_1666	409	284	0.019	12.4	1903806	1905032	NZ_CP026538.1	1666	0.0488997555012225	0.07042253521126761	-1
AbiEii_0_CAS-III	NZ_CP026538.1_1690	326	284	0.0096	13.4	1933012	1933989	NZ_CP026538.1	1690	0.07668711656441718	0.0880281690140845	1
AbiEii_0_CAS-III	NZ_CP026538.1_1717	672	284	0.0003	18.3	1978499	1980514	NZ_CP026538.1	1717	0.27827380952380953	0.4788732394366197	1
AbiEii_0_CAS-III	NZ_CP026538.1_1801	290	284	9.1e-05	20.0	2059893	2060762	NZ_CP026538.1	1801	0.4241379310344828	0.40492957746478875	1
AbiEii_0_CAS-III	NZ_CP026538.1_1892	247	284	0.0015	16.0	2154072	2154812	NZ_CP026538.1	1892	0.3805668016194332	0.30985915492957744	1
AbiEii_0_CAS-III	NZ_CP026538.1_1942	254	284	0.00027	18.5	2229240	2230001	NZ_CP026538.1	1942	0.32677165354330706	0.28169014084507044	1
AbiEii_0_CAS-III	NZ_CP026538.1_2046	888	284	0.036	11.5	2349177	2351840	NZ_CP026538.1	2046	0.028153153153153154	0.09154929577464789	-1
AbiEii_0_CAS-III	NZ_CP026538.1_2066	257	284	0.011	13.1	2368025	2368795	NZ_CP026538.1	2066	0.36186770428015563	0.3345070422535211	-1
AbiEii_0_CAS-III	NZ_CP026538.1_212	847	284	0.0021	15.5	242332	244872	NZ_CP026538.1	212	0.09799291617473435	0.27816901408450706	-1
AbiEii_0_CAS-III	NZ_CP026538.1_2141	242	284	1.8e-05	22.3	2445010	2445735	NZ_CP026538.1	2141	0.26859504132231404	0.22887323943661972	-1
AbiEii_0_CAS-III	NZ_CP026538.1_2158	236	284	0.0018	15.8	2460625	2461332	NZ_CP026538.1	2158	0.559322033898305	0.4507042253521127	-1
AbiEii_0_CAS-III	NZ_CP026538.1_2159	246	284	2.8e-07	28.3	2461325	2462062	NZ_CP026538.1	2159	0.4186991869918699	0.3415492957746479	-1
AbiEii_0_CAS-III	NZ_CP026538.1_2167	224	284	3.3e-05	21.5	2467574	2468245	NZ_CP026538.1	2167	0.16071428571428573	0.1267605633802817	-1
AbiEii_0_CAS-III	NZ_CP026538.1_2186	243	284	4.2e-05	21.1	2489278	2490006	NZ_CP026538.1	2186	0.3950617283950617	0.323943661971831	1
AbiEii_0_CAS-III	NZ_CP026538.1_2187	237	284	0.037	11.5	2489993	2490703	NZ_CP026538.1	2187	0.31223628691983124	0.25704225352112675	1
AbiEii_0_CAS-III	NZ_CP026538.1_2209	308	284	0.00029	18.4	2513976	2514899	NZ_CP026538.1	2209	0.1590909090909091	0.16901408450704225	-1
AbiEii_0_CAS-III	NZ_CP026538.1_2259	254	284	2.5e-05	21.9	2564567	2565328	NZ_CP026538.1	2259	0.07874015748031496	0.07042253521126761	-1
AbiEii_0_CAS-III	NZ_CP026538.1_2427	139	284	0.025	12.0	2751262	2751678	NZ_CP026538.1	2427	0.2517985611510791	0.12323943661971831	1
AbiEii_0_CAS-III	NZ_CP026538.1_2452	562	284	6.3e-07	27.1	2774115	2775800	NZ_CP026538.1	2452	0.2491103202846975	0.43309859154929575	1
AbiEii_0_CAS-III	NZ_CP026538.1_246	308	284	7.5e-06	23.6	284623	285546	NZ_CP026538.1	246	0.19480519480519481	0.20774647887323944	-1
AbiEii_0_CAS-III	NZ_CP026538.1_2489	264	284	7.9e-05	20.2	2820806	2821597	NZ_CP026538.1	2489	0.2196969696969697	0.20422535211267606	-1
AbiEii_0_CAS-III	NZ_CP026538.1_2494	503	284	4e-10	37.6	2825725	2827233	NZ_CP026538.1	2494	0.31610337972166996	0.3485915492957746	1
AbiEii_0_CAS-III	NZ_CP026538.1_2518	235	284	0.00026	18.5	2851128	2851832	NZ_CP026538.1	2518	0.3617021276595745	0.2852112676056338	1
AbiEii_0_CAS-III	NZ_CP026538.1_2588	418	284	0.00051	17.6	2942662	2943915	NZ_CP026538.1	2588	0.07655502392344497	0.11267605633802817	-1
AbiEii_0_CAS-III	NZ_CP026538.1_2685	228	284	2.8e-05	21.7	3063467	3064150	NZ_CP026538.1	2685	0.31140350877192985	0.24647887323943662	1
AbiEii_0_CAS-III	NZ_CP026538.1_2707	396	284	0.00036	18.1	3086914	3088101	NZ_CP026538.1	2707	0.3686868686868687	0.49295774647887325	-1
AbiEii_0_CAS-III	NZ_CP026538.1_2712	667	284	0.021	12.3	3091994	3093994	NZ_CP026538.1	2712	0.17691154422788605	0.33098591549295775	-1
AbiEii_0_CAS-III	NZ_CP026538.1_2758	271	284	0.00021	18.9	3144510	3145322	NZ_CP026538.1	2758	0.13284132841328414	0.12323943661971831	1
AbiEii_0_CAS-III	NZ_CP026538.1_278	333	284	0.0097	13.4	325986	326984	NZ_CP026538.1	278	0.24324324324324326	0.2852112676056338	-1
AbiEii_0_CAS-III	NZ_CP026538.1_2954	231	284	0.00012	19.6	3376032	3376724	NZ_CP026538.1	2954	0.12121212121212122	0.09859154929577464	-1
AbiEii_0_CAS-III	NZ_CP026538.1_2998	256	284	1.3e-05	22.8	3407016	3407783	NZ_CP026538.1	2998	0.26953125	0.23591549295774647	-1
AbiEii_0_CAS-III	NZ_CP026538.1_3032	224	284	0.023	12.1	3442360	3443031	NZ_CP026538.1	3032	0.15625	0.12323943661971831	-1
AbiEii_0_CAS-III	NZ_CP026538.1_3179	261	284	0.0024	15.4	3620194	3620976	NZ_CP026538.1	3179	0.3448275862068966	0.29577464788732394	1
AbiEii_0_CAS-III	NZ_CP026538.1_3184	273	284	8.7e-05	20.1	3626310	3627128	NZ_CP026538.1	3184	0.5201465201465202	0.5035211267605634	1
AbiEii_0_CAS-III	NZ_CP026538.1_3192	571	284	5.8e-05	20.7	3637381	3639093	NZ_CP026538.1	3192	0.15236427320490367	0.29577464788732394	-1
AbiEii_0_CAS-III	NZ_CP026538.1_3270	234	284	3.4e-08	31.3	3732231	3732932	NZ_CP026538.1	3270	0.39316239316239315	0.31690140845070425	-1
AbiEii_0_CAS-III	NZ_CP026538.1_343	235	284	0.00046	17.7	402769	403473	NZ_CP026538.1	343	0.4340425531914894	0.33098591549295775	1
AbiEii_0_CAS-III	NZ_CP026538.1_3484	235	284	0.0041	14.6	3977901	3978605	NZ_CP026538.1	3484	0.4978723404255319	0.397887323943662	-1
AbiEii_0_CAS-III	NZ_CP026538.1_3485	262	284	6.1e-05	20.6	3978598	3979383	NZ_CP026538.1	3485	0.22519083969465647	0.20422535211267606	-1
AbiEii_0_CAS-III	NZ_CP026538.1_3491	236	284	1e-05	23.1	3984095	3984802	NZ_CP026538.1	3491	0.5508474576271186	0.4471830985915493	-1
AbiEii_0_CAS-III	NZ_CP026538.1_3492	260	284	0.00017	19.2	3984789	3985568	NZ_CP026538.1	3492	0.2423076923076923	0.20774647887323944	-1
AbiEii_0_CAS-III	NZ_CP026538.1_3509	443	284	2e-10	38.6	4005593	4006921	NZ_CP026538.1	3509	0.26410835214446954	0.3873239436619718	1
AbiEii_0_CAS-III	NZ_CP026538.1_3620	297	284	9.5e-05	20.0	4118315	4119205	NZ_CP026538.1	3620	0.31313131313131315	0.30633802816901406	1
AbiEii_0_CAS-III	NZ_CP026538.1_3722	608	284	6e-09	33.7	4225718	4227541	NZ_CP026538.1	3722	0.20723684210526316	0.38028169014084506	-1
AbiEii_0_CAS-III	NZ_CP026538.1_3806	254	284	2.3e-05	22.0	4338636	4339397	NZ_CP026538.1	3806	0.5118110236220472	0.44366197183098594	1
AbiEii_0_CAS-III	NZ_CP026538.1_3840	243	284	7.2e-08	30.2	4380857	4381585	NZ_CP026538.1	3840	0.3662551440329218	0.31338028169014087	-1
AbiEii_0_CAS-III	NZ_CP026538.1_3912	239	284	0.00017	19.1	4449980	4450696	NZ_CP026538.1	3912	0.5690376569037657	0.4964788732394366	-1
AbiEii_0_CAS-III	NZ_CP026538.1_3916	255	284	1e-06	26.4	4454187	4454951	NZ_CP026538.1	3916	0.45098039215686275	0.38028169014084506	-1
