scaffold	prediction
NZ_KB908476.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00023.23, whole genome shotgun sequence	plasmid
NZ_KB908454.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00001.1, whole genome shotgun sequence_fragment_1	organism
NZ_KB908454.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00001.1, whole genome shotgun sequence_fragment_4	organism
NZ_KB908464.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00011.11, whole genome shotgun sequence_fragment_1	organism
NZ_KB908475.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00022.22, whole genome shotgun sequence_fragment_1	organism
NZ_KB908463.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00010.10, whole genome shotgun sequence_fragment_1	organism
NZ_KB908477.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00024.24, whole genome shotgun sequence	organism
NZ_KB908461.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00008.8, whole genome shotgun sequence_fragment_1	organism
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_1	organism
NZ_KB908456.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00003.3, whole genome shotgun sequence_fragment_2	virus
NZ_KB908469.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00016.16, whole genome shotgun sequence_fragment_1	organism
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_1	organism
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_2	organism
NZ_KB908455.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00002.2, whole genome shotgun sequence_fragment_3	virus
NZ_KB908457.1 Oceanimonas smirnovii ATCC BAA-899 G364DRAFT_scaffold00004.4, whole genome shotgun sequence_fragment_1	organism
