Contig	Start	End	Strand	Pos
NZ_CP026538.1	126	1466	1	1
NZ_CP026538.1	1837	3030	1	2
NZ_CP026538.1	3027	5441	1	3
NZ_CP026538.1	5532	7973	1	4
NZ_CP026538.1	7952	8758	1	5
NZ_CP026538.1	8861	9736	1	6
NZ_CP026538.1	9766	10986	1	7
NZ_CP026538.1	10962	11789	1	8
NZ_CP026538.1	11761	13086	1	9
NZ_CP026538.1	13135	14070	1	10
NZ_CP026538.1	14134	15141	1	11
NZ_CP026538.1	15189	15491	-1	12
NZ_CP026538.1	15591	16361	1	13
NZ_CP026538.1	16437	16868	-1	14
NZ_CP026538.1	16999	17925	1	15
NZ_CP026538.1	17922	18968	1	16
NZ_CP026538.1	19012	19341	1	17
NZ_CP026538.1	19358	20128	1	18
NZ_CP026538.1	20146	20973	1	19
NZ_CP026538.1	20975	21886	1	20
NZ_CP026538.1	21883	22518	1	21
NZ_CP026538.1	22562	23185	-1	22
NZ_CP026538.1	23274	24551	1	23
NZ_CP026538.1	24645	25661	-1	24
NZ_CP026538.1	25768	27444	1	25
NZ_CP026538.1	27496	28227	1	26
NZ_CP026538.1	28317	29582	1	27
NZ_CP026538.1	29753	31558	1	28
NZ_CP026538.1	31562	32086	1	29
NZ_CP026538.1	32095	33057	1	30
NZ_CP026538.1	33078	33986	1	31
NZ_CP026538.1	33983	35413	1	32
NZ_CP026538.1	35613	37676	-1	33
NZ_CP026538.1	38015	38344	-1	34
NZ_CP026538.1	38436	38678	-1	35
NZ_CP026538.1	38831	39934	1	36
NZ_CP026538.1	39965	41050	1	37
NZ_CP026538.1	41047	42024	1	38
NZ_CP026538.1	42350	42940	-1	39
NZ_CP026538.1	43044	43412	-1	40
NZ_CP026538.1	43485	47084	-1	41
NZ_CP026538.1	47276	48121	1	42
NZ_CP026538.1	48331	49734	-1	43
NZ_CP026538.1	49895	51349	-1	44
NZ_CP026538.1	51676	52035	1	45
NZ_CP026538.1	52234	54687	1	46
NZ_CP026538.1	54723	55193	-1	47
NZ_CP026538.1	55283	55480	1	48
NZ_CP026538.1	55787	56674	1	49
NZ_CP026538.1	56844	57488	-1	50
NZ_CP026538.1	57552	57941	-1	51
NZ_CP026538.1	58065	58850	1	52
NZ_CP026538.1	59008	59502	1	53
NZ_CP026538.1	59810	60094	-1	54
NZ_CP026538.1	61031	62401	-1	55
NZ_CP026538.1	62994	63284	1	56
NZ_CP026538.1	64085	67249	-1	57
NZ_CP026538.1	68470	69468	1	58
NZ_CP026538.1	69461	70303	1	59
NZ_CP026538.1	70315	71943	1	60
NZ_CP026538.1	71940	72635	1	61
NZ_CP026538.1	72632	73504	1	62
NZ_CP026538.1	73501	74307	1	63
NZ_CP026538.1	74412	75353	1	64
NZ_CP026538.1	75350	76645	1	65
NZ_CP026538.1	76681	78003	1	66
NZ_CP026538.1	78524	79579	1	67
NZ_CP026538.1	79740	80003	1	68
NZ_CP026538.1	80000	80431	1	69
NZ_CP026538.1	80513	80887	1	70
NZ_CP026538.1	80887	81768	1	71
NZ_CP026538.1	81880	82413	-1	72
NZ_CP026538.1	82541	83365	-1	73
NZ_CP026538.1	83418	85814	-1	74
NZ_CP026538.1	85863	86519	-1	75
NZ_CP026538.1	87048	87275	1	76
NZ_CP026538.1	87272	87694	1	77
NZ_CP026538.1	87823	88527	-1	78
NZ_CP026538.1	88608	89570	-1	79
NZ_CP026538.1	89796	91031	1	80
NZ_CP026538.1	91032	92942	1	81
NZ_CP026538.1	92939	94144	1	82
NZ_CP026538.1	94412	95449	1	83
NZ_CP026538.1	95747	98563	-1	84
NZ_CP026538.1	98641	99606	-1	85
NZ_CP026538.1	100609	101982	1	86
NZ_CP026538.1	102030	102683	1	87
