Contig	Start	End	Strand	Pos
NZ_KB908454.1	1	96	-1	1
NZ_KB908454.1	103	303	-1	2
NZ_KB908454.1	370	1296	-1	3
NZ_KB908454.1	1426	2850	1	4
NZ_KB908454.1	2899	3372	-1	5
NZ_KB908454.1	3401	4705	-1	6
NZ_KB908454.1	4903	5520	1	7
NZ_KB908454.1	5558	6001	1	8
NZ_KB908454.1	6010	6840	1	9
NZ_KB908454.1	6840	7412	1	10
NZ_KB908454.1	7862	9757	1	11
NZ_KB908454.1	9773	12028	1	12
NZ_KB908454.1	12133	12537	-1	13
NZ_KB908454.1	12527	12718	-1	14
NZ_KB908454.1	12715	13449	-1	15
NZ_KB908454.1	13500	14645	-1	16
NZ_KB908454.1	14639	15244	-1	17
NZ_KB908454.1	15256	15669	-1	18
NZ_KB908454.1	15739	16290	-1	19
NZ_KB908454.1	16300	17124	-1	20
NZ_KB908454.1	17135	17827	-1	21
NZ_KB908454.1	17868	18902	1	22
NZ_KB908454.1	18919	20028	1	23
NZ_KB908454.1	20036	20815	1	24
NZ_KB908454.1	20940	22241	-1	25
NZ_KB908454.1	22312	23019	1	26
NZ_KB908454.1	23184	24488	1	27
NZ_KB908454.1	24685	25200	-1	28
NZ_KB908454.1	25275	26162	1	29
NZ_KB908454.1	26478	28214	1	30
NZ_KB908454.1	28250	30124	-1	31
NZ_KB908454.1	30245	30997	-1	32
NZ_KB908454.1	31010	32110	-1	33
NZ_KB908454.1	32113	33297	-1	34
NZ_KB908454.1	33365	34378	-1	35
NZ_KB908454.1	34639	35733	1	36
NZ_KB908454.1	35761	37248	1	37
NZ_KB908454.1	37476	38888	-1	38
NZ_KB908454.1	38915	40414	-1	39
NZ_KB908454.1	40624	41337	1	40
NZ_KB908454.1	41586	42980	1	41
NZ_KB908454.1	43004	43612	1	42
NZ_KB908454.1	43656	45086	1	43
NZ_KB908454.1	45097	46281	1	44
NZ_KB908454.1	46271	46882	-1	45
NZ_KB908454.1	46879	47733	-1	46
NZ_KB908454.1	48120	49346	-1	47
NZ_KB908454.1	49369	51081	-1	48
NZ_KB908454.1	51086	51538	-1	49
NZ_KB908454.1	51670	52524	-1	50
NZ_KB908454.1	52733	53098	-1	51
NZ_KB908454.1	53171	53725	1	52
NZ_KB908454.1	53986	54747	1	53
NZ_KB908454.1	54809	57469	1	54
NZ_KB908454.1	57480	59381	1	55
NZ_KB908454.1	59533	60957	1	56
NZ_KB908454.1	61132	63372	1	57
NZ_KB908454.1	63588	66185	1	58
NZ_KB908454.1	66359	68605	1	59
NZ_KB908454.1	68853	69533	1	60
NZ_KB908454.1	69621	71018	-1	61
NZ_KB908454.1	71316	71675	1	62
NZ_KB908454.1	71810	72226	-1	63
NZ_KB908454.1	72405	72743	1	64
NZ_KB908454.1	72755	73981	1	65
NZ_KB908454.1	74173	75186	1	66
NZ_KB908454.1	75223	76845	1	67
NZ_KB908454.1	76845	77909	1	68
NZ_KB908454.1	77995	78897	1	69
NZ_KB908454.1	79065	79565	-1	70
NZ_KB908454.1	79629	79721	-1	71
NZ_KB908454.1	79828	80436	1	72
NZ_KB908454.1	80450	81190	1	73
NZ_KB908454.1	81192	81839	1	74
NZ_KB908454.1	81832	82509	1	75
NZ_KB908454.1	82670	83608	1	76
NZ_KB908454.1	83763	84665	-1	77
NZ_KB908454.1	84658	86625	-1	78
NZ_KB908454.1	86619	87410	-1	79
NZ_KB908454.1	87420	89024	-1	80
NZ_KB908454.1	89034	90197	-1	81
NZ_KB908454.1	90308	91495	1	82
NZ_KB908454.1	91505	92998	1	83
NZ_KB908454.1	93372	94526	1	84
NZ_KB908454.1	94551	95663	1	85
NZ_KB908454.1	95844	96737	1	86
NZ_KB908454.1	96738	97499	1	87
NZ_KB908454.1	97710	99353	-1	88
NZ_KB908454.1	99473	100225	1	89
NZ_KB908454.1	100222	101151	1	90
NZ_KB908454.1	101208	101876	-1	91
NZ_KB908454.1	102144	103781	1	92
NZ_KB908454.1	103868	105163	1	93
NZ_KB908454.1	105439	105729	1	94
NZ_KB908454.1	105726	106412	1	95
NZ_KB908454.1	106409	106885	1	96
NZ_KB908454.1	106882	107922	1	97
NZ_KB908454.1	107903	108649	1	98
NZ_KB908454.1	108655	109275	1	99
NZ_KB908454.1	109272	109853	1	100
NZ_KB908454.1	109853	110818	1	101
NZ_KB908454.1	110861	111844	1	102
NZ_KB908454.1	112070	114646	-1	103
NZ_KB908454.1	114762	115256	1	104
NZ_KB908454.1	115331	116401	1	105
