protein	scaffold	KO	AMG	KO name	KO evalue	KO score	KO v-score	Pfam	Pfam name	Pfam evalue	Pfam score	Pfam v-score	VOG	VOG name	VOG evalue	VOG score	VOG v-score
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1122	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20	K07497		K07497; putative transposase	1.3e-12	45.8	0.39	PF09299.11	"Mu transposase, C-terminal"	2.4e-13	45.1	0.07	VOG00758	sp|P16942|T629_SHISO Transposase for insertion sequence element IS629	1.9e-53	177.8	2.68
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1123	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20	K07132		MuB; ATP-dependent target DNA activator [EC:3.6.1.3]	1.1e-49	167.5	0.26	PF13401.6	AAA domain	3.5e-16	55.0	0.23	VOG01384	sp|P03763|TARGB_BPMU ATP-dependent target DNA activator B	2.8e-25	84.6	1.54
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1124	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1125	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20							PF07352.12	Bacteriophage Mu Gam like protein	2.2e-33	110.6	1.0	VOG02851	sp|P06023|GAM_BPMU Putative DNA ends protecting protein gam	1.2e-14	49.2	1.53
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1126	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20	K03530		hupB; DNA-binding protein HU-beta	4.1e-29	99.9	0.45	PF00216.21	Bacterial DNA-binding protein	1e-27	91.5	0.69	VOG01191	sp|P0A3H0|DBH_GEOSE DNA-binding protein HU	4.3e-17	57.6	4.97
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1127	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1128	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1129	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1130	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20																
NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20_1131	NZ_CP026538.1 Desulfovibrio carbinolicus strain DSM 3852 chromosome, complete genome_fragment_20	K19360		NPHP3; nephrocystin-3	1.6e-75	252.6	0	PF13374.6	Tetratricopeptide repeat	1.4e-95	306.3	0					
