protein	id	evalue	score
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_52	VOG09893	1.2e-249	822.1
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_6	VOG00758	2.6e-181	596.6
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_48	VOG03173	7.1e-166	544.2
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_37	VOG11303	3.7e-143	467.9
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_32	VOG02806	9.599999999999999e-132	432.2
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_45	VOG22128	4.5e-119	390.5
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_53	VOG01595	1.6e-108	353.9
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_31	VOG01729	1.8e-103	338.9
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_9	VOG11434	1e-99	323.9
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_8	VOG02078	6.6e-94	304.9
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_13	VOG02851	2.3e-89	289.2
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_26	VOG11439	1.6000000000000001e-87	282.3
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_5	VOG11433	6.6e-86	277.1
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_22	VOG13919	2.2e-80	258.2
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_28	VOG11441	1.3e-78	254.3
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_36	VOG00373	1e-77	254.0
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_46	VOG00916	2.0000000000000002e-75	246.1
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_30	VOG00677	2.8999999999999997e-75	245.5
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_29	VOG04918	3.8999999999999996e-75	242.8
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_49	VOG01362	6.000000000000001e-75	244.0
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_44	VOG00543	1.3e-74	242.2
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_7	VOG01384	2.1000000000000002e-73	239.2
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_4	VOG11432	5.4000000000000005e-73	234.3
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_15	VOG11436	4.1e-70	224.3
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_38	VOG11445	2.6e-65	210.0
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_3	VOG03327	5e-63	203.5
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_47	VOG00916	3.8e-61	199.1
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_16	VOG01533	4.9e-61	197.4
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_19	VOG11438	6e-61	194.9
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_34	VOG13920	4.9000000000000004e-60	191.6
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_43	VOG01417	5.1e-60	194.9
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_23	VOG01722	2.2000000000000003e-59	191.1
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_18	VOG11437	1.1e-58	187.3
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_41	VOG10943	1.7e-54	175.5
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_55	VOG12212	4e-53	169.9
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_14	VOG20057	5.8e-52	165.3
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_35	VOG04596	7.4e-52	165.4
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_24	VOG00741	1.3e-50	164.5
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_27	VOG11440	8.899999999999999e-49	154.9
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_12	VOG11435	2.9999999999999997e-47	151.2
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_20	VOG03188	1.1999999999999999e-46	150.3
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_11	VOG02635	9.8e-46	146.7
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_21	VOG00774	3.9e-45	144.8
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_17	VOG01533	9.5e-45	144.4
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_54	VOG11448	1.4e-37	120.1
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_40	VOG01842	4e-37	119.3
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_39	VOG11446	4.4999999999999996e-35	111.6
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_50	VOG09894	8.3e-34	107.1
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_33	VOG00721	2e-33	107.6
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_25	VOG20560	3e-32	102.1
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_42	VOG11447	1.9e-31	99.7
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_10	VOG13918	2.0000000000000002e-29	93.4
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_51	VOG01785	1.2e-27	87.6
NC_020198.1$~&Pseudomonas$~&phage$~&JBD30,$~&complete$~&genome_1	VOG02771	7.500000000000001e-22	70.3
